[2021-11-12 23:21:05,257] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-12 23:21:05,263] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?username=juancocina HTTP/1.1" 200 42
[2021-11-12 23:28:03,208] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-12 23:28:03,214] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?username=juancocina HTTP/1.1" 200 42
[2021-11-12 23:35:16,033] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-12 23:35:16,040] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?username=juancocina HTTP/1.1" 200 42
[2021-11-12 23:35:36,983] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-12 23:35:36,987] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?username=juancocina HTTP/1.1" 200 42
[2021-11-15 18:37:55,494] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-15 18:37:55,501] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?username=juancocina HTTP/1.1" 200 58
[2021-11-15 18:39:07,768] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-15 18:39:07,778] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?username=juancocina HTTP/1.1" 200 58
[2021-11-15 18:41:11,062] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-15 18:41:11,067] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?username=juancocina HTTP/1.1" 200 58
[2021-11-15 18:45:45,122] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-15 18:45:45,127] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?username=juancocina HTTP/1.1" 200 58
[2021-11-15 18:46:50,535] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-15 18:46:50,543] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?username=juancocina HTTP/1.1" 200 58
[2021-11-15 18:48:40,935] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-15 18:48:40,942] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?username=juancocina HTTP/1.1" 200 58
[2021-11-15 18:49:10,572] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-15 18:49:10,578] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?username=juancocina HTTP/1.1" 200 58
[2021-11-15 18:49:42,881] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-15 18:49:42,888] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?username=juancocina HTTP/1.1" 200 58
[2021-11-15 18:49:58,582] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-15 18:49:58,587] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?username=juancocina HTTP/1.1" 200 58
[2021-11-15 18:50:19,684] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-15 18:50:19,692] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?username=juancocina HTTP/1.1" 200 58
[2021-11-15 18:50:35,840] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
